PORT_CODE,DATE,IEC,HS_CODE,GOODS_DESCRIPTION,MASTER_CATEGORY,MODEL_NAME,MODEL_NUMBER,CAPACITY,QTY,UNIT_OF_MEASURE,PRICE,UNIT_OF_MEASURE.1,QUANTITY,UNIT,UNIT_PRICE_INR,TOTAL_VALUE_INR,UNIT_PRICE_USD,TOTAL_VALUE_USD,DUTY_PAID_INR,YEAR,MONTH,STD_UNIT,EXTRACTED_MODEL,EXTRACTED_MATERIAL,EMBEDDED_QTY,EXTRACTED_USD_PRICE,GRAND_TOTAL_INR,LANDED_COST_PER_UNIT,CATEGORY,SUB_CATEGORY,SUPPLIER_NAME
INNSA1,2025-09-20,301049751,73239990,HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:153600 SET/USD:0.24 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:153600 SET/USD:0.2,,,,,,,,,5120.0,KGS,660.8427539,3383514.9,7.437734991,38081.20315,1239719.9,2025,9,KGS,HOUSEHOLD,STEEL,153600.0,0.24,4623234.8,902.975546875,GENERAL,STANDARD,Global Supplier Group-5
INNSA1,2025-09-10,301049751,73239990,"MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,232 PCS/CNY:101.00 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,23",,,,,,,,,4004.0,KGS,427.8509965,1713115.39,4.807314567,19248.48753,627685.5,2025,9,KGS,MILD,STEEL,1.0,,2340800.8899999997,584.6156068931068,GENERAL,STANDARD,Global Supplier Group-3
INNSA1,2025-09-09,301049751,73239990,STEEL BASKET BIG (SY-845-4) (QTY:800 PCS/USD:0.9710 PER PCS) STEEL BASKET BIG (SY-845-4) (QTY:800 PCS/USD:0.9710 PER PCS),,,,,,,,,150.0,KGS,499.2998,74894.97,5.610110112,841.5165169,27441.5,2025,9,KGS,STEEL,STEEL,800.0,0.971,102336.47,682.2431333333334,GENERAL,STANDARD,Global Supplier Group-3
INNSA1,2025-09-05,301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-026-3S) (QTY:1696 PCS/CNY: 81.50 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-026-3S) (QTY,,,,,,,,,6614.4,KGS,308.044063,2037526.65,3.461169247,22893.55787,746549.7,2025,9,KGS,MILD,STEEL,1696.0,,2784076.3499999996,420.9113978592162,GENERAL,STANDARD,Global Supplier Group-1
INNSA1,2025-09-02,301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY:4842 PCS/USD 0.977 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY:4842 PCS/USD 0.977 PER PCS,,,,,,,,,1183.6,KGS,381.6843697,451761.62,4.342256766,5139.495108,165525.4,2025,9,KGS,SB-12,STEEL,4842.0,0.977,617287.02,521.5334741466712,GENERAL,STANDARD,Global Supplier Group-5
INNSA1,2025-09-02,301049751,73239990,SY-845-4 STEEL BASKET BIG (QTY 37200 PCS/USD 0.9691 PER PCS) SY-845-4 STEEL BASKET BIG (QTY 37200 PCS/USD 0.9691 PER PCS),,,,,,,,,6975.0,KGS,506.1900172,3530675.37,5.758703267,40166.95529,1293639.5,2025,9,KGS,SY-845-4,STEEL,37200.0,0.9691,4824314.87,691.6580458781362,GENERAL,STANDARD,Global Supplier Group-4
INNSA1,2025-09-02,301049751,73239990,NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.270 PER PCS) NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.270 PER PCS),,,,,,,,,2310.0,KGS,562.5649134,1299524.95,6.400055898,14784.12912,476146.0,2025,9,KGS,NP-55,STEEL,50400.0,0.27,1775670.95,768.688722943723,GENERAL,STANDARD,Global Supplier Group-2
INNSA1,2025-09-02,301049751,73239990,AM-321 STEEL DRAINER (QTY:21648 PCS/USD 0.702 PER PCS) AM-321 STEEL DRAINER (QTY:21648 PCS/USD 0.702 PER PCS),,,,,,,,,2976.6,KGS,487.5564066,1451260.4,5.546716799,16510.35722,531741.8,2025,9,KGS,AM-321,STEEL,21648.0,0.702,1983002.2,666.1970704831016,GENERAL,STANDARD,Global Supplier Group-3
INNSA1,2025-08-30,301049751,73239990,STEEL SALT BOTTLE (NP-19) (QTY: 36180 PC/USD 0.446 PER PC) STEEL SALT BOTTLE (NP-19) (QTY: 36180 PC/USD 0.446 PER PC),,,,,,,,,5628.0,KGS,271.1943106,1526281.58,3.085259506,17363.8405,559229.5,2025,8,KGS,STEEL,STEEL,36180.0,0.446,2085511.08,370.5598933901919,GENERAL,STANDARD,Global Supplier Group-2
INNSA1,2025-08-29,301049751,73231000,"STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 SET/USD:0.228PER SET)STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 SET/USD:0.228",,,,,,,,,8856.0,KGS,242.0626457,2143706.79,2.753841248,24388.01809,942373.5,2025,8,KGS,STEEL,STEEL,98.0,0.228,3086080.29,348.47338414634146,CLEANING,STANDARD,Global Supplier Group-2
