PORT CODE,DATE,IEC,HS CODE,GOODS DESCRIPTION,Master category,Model Name,Model Number,Capacity,Qty,Unit of measure,Price,Unit of measure,QUANTITY,UNIT,UNIT PRICE_INR,TOTAL VALUE_INR,UNIT PRICE_USD,TOTAL VALUE_USD,DUTY PAID_INR
INNSA1,2025-08-01,0301049751,73231000,STEEL SCRUBBER 2 PCS SET (8001-2) (QTY:336000 SET/USD:0.139PER SET)STEEL SCRUBBER 2 PCS SET (8001-2) (QTY:336000 SET/USD:0.139,,,,,,,,,9800,KGS,438.0730643,4293116.03,5.046924704,49459.8621,1887253.8
INNSA1,2025-07-29,0301049751,73239990,"STEEL TEA STRAINER BIG (SB-12) (QTY:1,332 PCS/USD:0.973 PERPCS)STEEL TEA STRAINER BIG (SB-12) (QTY:1,332 PCS/USD:0.973 PER",,,,,,,,,325.6,KGS,371.7940418,121056.14,4.283341495,1394.655991,44354.9
INNSA1,2025-07-29,0301049751,73239990,"STEEL TEA STRAINER (NP-55) (QTY:1,00,800 PCS/USD:0.269 PER PCS)STEEL TEA STRAINER (NP-55) (QTY:1,00,800 PCS/USD:0.269 PER P",,,,,,,,,4620,KGS,548.2002857,2532685.32,6.315671494,29178.4023,927975.9
INNSA1,2025-07-28,0301049751,73239990,"STEEL BASKET SQUARE (SY-845-6) (QTY: 82,800 PCS/USD:0.7012 PCS)STEEL BASKET SQUARE (SY-845-6) (QTY: 82,800 PCS/USD:0.7012 P",,,,,,,,,12006,KGS,448.1221789,5380154.88,5.162697914,61983.35115,1971288.8
INNSA1,2025-07-23,0301049751,73239990,STEEL CUTLERY HOLDER (H2740) (QTY: 24960 NOS/USD 1.55 PER NOS)STEEL CUTLERY HOLDER (H2740) (QTY: 24960 NOS/USD 1.55 PER NO,,,,,,,,,9776,KGS,361.08518,3529968.72,4.159967512,40667.8424,1293380.5
INNSA1,2025-07-22,0301049751,73231000,STEEL SCRUBBER 2 PCS SET (8001-2) (QTY:168000 SETS/USD:0.139PER PCS)STEEL SCRUBBER 2 PCS SET (8001-2) (QTY:168000 SETS/USD:0.139,,,,,,,,,4900,KGS,448.6994878,2198627.49,5.169348937,25329.80979,966516.6
INNSA1,2025-07-17,0301049751,73239990,STEEL SPRINKLER (AM-430) (QTY: 2880 PCS/USD 0.579 PER PCS) STEEL SPRINKLER (AM-430) (QTY: 2880 PCS/USD 0.579 PER PCS),,,,,,,,,528,KGS,297.1403977,156890.13,3.447104382,1820.071114,57484.5
INNSA1,2025-07-17,0301049751,73239990,STEEL HAND BLENDER (SR-13) (QTY: 540 PCS/USD 0.337 PER PCS) STEEL HAND BLENDER (SR-13) (QTY: 540 PCS/USD 0.337 PER PCS),,,,,,,,,33,KGS,518.8409091,17121.75,6.019036068,198.6281903,6273.4
INNSA1,2025-07-17,0301049751,73239990,STEEL SALT BOTTLE (NP-19) (QTY: 6624 PCS/USD 0.446 PER PCS) STEEL SALT BOTTLE (NP-19) (QTY: 6624 PCS/USD 0.446 PER PCS),,,,,,,,,1030.4,KGS,269.7573564,277957.98,3.129435689,3224.570534,101843.9
INNSA1,2025-07-17,0301049751,73239390,STEEL FILTER BALL WITH CHAIN (SR-10) (QTY: 540 PCS/USD 0.258PER PCS)STEEL FILTER BALL WITH CHAIN (SR-10) (QTY: 540 PCS/USD 0.25,,,,,,,,,12,KGS,1087.744167,13052.93,12.61884184,151.4261021,4782.7
INNSA1,2025-07-16,0301049751,73239990,STEEL HANGER WITH HOOK (SL-89) (QTY: 70056 PCS/CNY 7.45 PERPCS)STEEL HANGER WITH HOOK (SL-89) (QTY: 70056 PCS/CNY 7.45 PER,,,,,,,,,15568,KGS,416.9154856,6490540.28,4.836606562,75296.29095,2378134
INNSA1,2025-07-15,0301049751,73239390,STEEL INFUSER (SR-20) (QTY: 360 PCS/USD 0.743 PER PCS) STEEL INFUSER (SR-20) (QTY: 360 PCS/USD 0.743 PER PCS),,,,,,,,,15,KGS,1678.824667,25182.37,19.47592421,292.1388631,9226.8
INNSA1,2025-07-15,0301049751,73239990,"MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,232 PCS/ CNY:101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,23",,,,,,,,,4004,KGS,424.5167807,1699765.19,4.924788639,19718.85371,622793.9
